outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,APR 2021,202114,12-17,all_types,8,36887,30785,17556462,21.687857511,175.348541181,8.085102048,,,,0
case,APR 2021,202114,18-29,all_types,674,2543093,76736,31091322,26.503159735,246.808418117,9.312414844,,,,0
case,APR 2021,202114,30-49,all_types,1847,7428405,98436,41074337,24.864018588,239.653290082,9.638558193,,,,0
case,APR 2021,202114,50-64,all_types,1558,7487444,50324,22948569,20.808168983,219.290361852,10.538666907,,,,0
case,APR 2021,202114,65-79,all_types,1672,14398099,14880,7675907,11.612644141,193.853312709,16.693296578,,,,0
case,APR 2021,202114,80+,all_types,805,4962963,3757,2524581,16.220149133,148.816773952,9.174809229,,,,0
case,APR 2021,202114,all_ages_adj,all_types,6564,36856891,274918,122871178,17.809424023,223.744904602,12.56328696,22.280323501,221.871291923,9.958171923,0
case,APR 2021,202114,all_ages_adj,Janssen,1156,2256251,274918,122871178,51.235434355,223.744904602,4.36699537,58.238599105,221.871291923,3.809694864,0
case,APR 2021,202114,all_ages_adj,Moderna,1801,16202440,274918,122871178,11.115609748,223.744904602,20.128891683,23.932620309,221.871291923,9.270664434,0
case,APR 2021,202114,all_ages_adj,Pfizer,3580,18346519,274918,122871178,19.513238451,223.744904602,11.46631325,22.490518145,221.871291923,9.865103618,0
case,APR 2021,202115,12-17,all_types,5,54519,30598,17294946,9.171114657,176.918736838,19.290865227,,,,0
case,APR 2021,202115,18-29,all_types,745,3160878,70484,29190542,23.569400654,241.461772104,10.244714138,,,,0
case,APR 2021,202115,30-49,all_types,2116,9097349,91823,37970059,23.259523186,241.830016645,10.39703242,,,,0
case,APR 2021,202115,50-64,all_types,1914,9628898,45460,20820568,19.87766409,218.341785873,10.984277875,,,,0
