COVID-19 Vaccinations in the United States
Date generated: Wed May 10 2023 11:05:23 GMT-0400 (Eastern Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
United States,982117925,295811,380348,676006980,203611,607029065,235086,270129677,81.4,238163284,92.2,230582699,69.5,204287632,79.1,505344115,88991850,313437520,41413640,31552000,1378800,N/A,19005648,232125561,20526951,366941311,36337041,88458,885713,58739476,95,51693475,94.3,183703964,335275,1792450,256429413,90.4,219923461,77.6,647602661,228415,346401,267932682,85.8,229379482,73.5,671511955,215046,314514,56087602,16.9,55968476,17.9,54606583,19.3,52643100,20.4,23494228,42.9,1991689,56863992
Alaska,2171395,296823,393681,1326639,181348,1176125,213235,535588,73.2,467199,84.7,477506,65.3,418539,75.9,1079425,N/A,718520,N/A,86200,6300,N/A,46357,470059,N/A,706541,N/A,338,1570,90878,95,81971,89.5,287276,313661,2370830,504858,82.9,452810,74.4,1262396,207332,356623,530204,77.9,474626,69.8,1316757,193508,319105,102984,14.1,102980,15.1,99928,16.4,95359,17.3,39046,42.6,N/A,N/A
Alabama,12322100,251308,323001,7014357,143057,6522883,170985,3192610,65.1,2934405,76.9,2611270,53.3,2416092,63.3,5848060,N/A,4797960,N/A,402500,24000,N/A,179920,2880978,N/A,3572411,N/A,795,926,839934,95,725056,85.3,2243778,264025,1449940,3107447,74.2,2553758,61,6857164,163777,294303,3183033,69.1,2607338,56.6,6995447,151784,267359,373864,7.6,373812,8.1,371880,8.9,364359,9.6,201029,23.7,N/A,N/A
Arkansas,8357480,276939,360602,4870800,161402,4432391,191245,2114689,70.1,1890949,81.6,1719884,57,1547442,66.8,4016440,N/A,3075220,N/A,265400,30900,N/A,126437,1929053,N/A,2469492,N/A,3755,4874,524108,95,440874,84.2,1503985,287085,1595300,2031334,79.4,1661349,65,4714503,184358,326815,2103644,74.4,1715223,60.6,4851239,171462,295386,329261,10.9,329158,11.6,324620,12.7,316394,13.7,174007,33.2,N/A,N/A
American Samoa,128480,271101,410021,115265,243216,85716,273547,46214,95,32789,95,42487,89.7,29949,95,100770,N/A,25000,N/A,600,N/A,N/A,580,25359,N/A,87461,N/A,N/A,1282,3314,95,2996,91.4,9484,289323,3919460,39589,95,36390,95,102449,277512,348024,46193,95,42486,95,115242,267321,298028,576,1.2,576,1.3,573,1.6,568,1.8,199,6.1,N/A,N/A
Arizona,19916930,273632,353232,14630900,201009,13056629,231563,5701722,78.3,4955817,87.9,4820249,66.2,4239053,75.2,10188940,N/A,6493320,N/A,621000,22200,N/A,388122,5190072,N/A,7817954,N/A,2542,59650,1348056,95,1187950,90.8,4455276,340453,1521970,5391657,86.9,4595206,74,14006180,225686,320927,5660171,82.6,4804841,70.2,14554737,212511,290804,1136672,15.6,1136552,16.6,1108208,17.9,1064655,18.9,517276,39.5,N/A,N/A
Bureau of Prisons,421090,N/A,N/A,347808,N/A,347806,N/A,155768,N/A,155766,N/A,141755,N/A,141754,N/A,199110,N/A,172520,N/A,16200,N/A,N/A,14831,156523,N/A,166572,N/A,N/A,38,4225,N/A,3822,N/A,11923,N/A,N/A,155766,N/A,141754,N/A,347806,N/A,N/A,155766,N/A,141754,N/A,347806,N/A,N/A,9774,N/A,9774,N/A,9774,N/A,9774,N/A,677,N/A,N/A,N/A
California,120813275,305762,394588,88366823,223644,78181908,255350,33603152,85,29087804,95,29583959,74.9,25677882,83.9,63095065,N/A,37596780,N/A,3785200,173000,N/A,2316348,29968333,N/A,47836620,N/A,11026,13054,6056283,95,5440069,93.2,20237159,346639,2069390,31622471,94,27953033,83.1,84094978,249939,359069,33258813,89.6,29367907,79.1,87653520,236081,325392,8098904,20.5,8073407,21.7,7847274,23.3,7519825,24.6,2807748,48.1,N/A,N/A
Colorado,17740375,308060,394299,13018349,226063,11600581,257836,4836265,84,4218432,93.8,4247213,73.8,3728458,82.9,9029415,N/A,5402640,N/A,501900,42700,N/A,347317,4490394,N/A,6832882,N/A,2957,21584,902267,95,817774,95,3163375,375514,2105900,4547845,92.1,4022736,81.5,12382160,250851,359403,4774948,88,4214092,77.7,12885234,237449,326919,1262390,21.9,1258975,23.2,1220906,24.7,1167923,26,457227,54.3,N/A,N/A
Connecticut,11857995,332596,417852,9032746,253353,8075800,284575,3668858,95,3223897,95,2966448,83.2,2601936,91.7,5856215,N/A,3940280,N/A,355100,10000,N/A,252823,3075418,N/A,4786906,N/A,747,1383,823024,95,654004,95,2481090,393671,1881490,3480809,95,2816098,90.7,8647757,278426,381784,3639034,95,2948156,87.1,8971814,265158,350457,906578,25.4,905174,26.8,886578,28.5,854536,30.1,382266,60.7,N/A,N/A
