Data Table for Weekly Case Trends - The United States
Date generated: Wed May 10 2023 10:23:56 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Cases,New Historic Cases
United States,May  3 2023,77294,0
United States,Apr 26 2023,90318,949
United States,Apr 19 2023,99202,0
United States,Apr 12 2023,101833,0
United States,Apr  5 2023,123011,0
United States,Mar 29 2023,137734,5347
United States,Mar 22 2023,157366,18232
United States,Mar 15 2023,167403,347
United States,Mar  8 2023,187203,0
United States,Mar  1 2023,229206,0
United States,Feb 22 2023,237847,29950
United States,Feb 15 2023,263717,0
United States,Feb  8 2023,285733,0
United States,Feb  1 2023,282021,4507
United States,Jan 25 2023,306967,0
United States,Jan 18 2023,339151,0
United States,Jan 11 2023,432897,0
United States,Jan  4 2023,481399,0
United States,Dec 28 2022,402070,0
United States,Dec 21 2022,495705,21397
United States,Dec 14 2022,455277,0
United States,Dec  7 2022,472365,0
United States,Nov 30 2022,310777,0
United States,Nov 23 2022,309622,0
United States,Nov 16 2022,280816,0
United States,Nov  9 2022,290521,0
United States,Nov  2 2022,274339,0
United States,Oct 26 2022,261131,0
United States,Oct 19 2022,260985,0
United States,Oct 12 2022,265447,0
United States,Oct  5 2022,315104,0
United States,Sep 28 2022,340741,0
United States,Sep 21 2022,394114,0
United States,Sep 14 2022,468773,0
United States,Sep  7 2022,523750,0
United States,Aug 31 2022,616222,0
United States,Aug 24 2022,650741,0
United States,Aug 17 2022,700373,0
United States,Aug 10 2022,760502,0
United States,Aug  3 2022,833176,0
United States,Jul 27 2022,926253,0
United States,Jul 20 2022,897274,0
United States,Jul 13 2022,866204,0
United States,Jul  6 2022,774932,0
United States,Jun 29 2022,771226,0
United States,Jun 22 2022,683787,0
United States,Jun 15 2022,725924,0
United States,Jun  8 2022,760299,0
United States,Jun  1 2022,717068,0
United States,May 25 2022,762875,0
United States,May 18 2022,718437,0
United States,May 11 2022,590341,0
United States,May  4 2022,457463,0
United States,Apr 27 2022,370136,0
United States,Apr 20 2022,296478,0
United States,Apr 13 2022,222683,0
United States,Apr  6 2022,200338,0
United States,Mar 30 2022,194139,0
United States,Mar 23 2022,195994,0
United States,Mar 16 2022,213791,0
United States,Mar  9 2022,268024,0
United States,Mar  2 2022,369137,0
United States,Feb 23 2022,548225,0
United States,Feb 16 2022,901180,0
United States,Feb  9 2022,1486617,0
United States,Feb  2 2022,2717823,0
United States,Jan 26 2022,4410243,0
United States,Jan 19 2022,5504710,0
United States,Jan 12 2022,5476897,0
United States,Jan  5 2022,4240684,0
United States,Dec 29 2021,2124877,0
United States,Dec 22 2021,1164360,0
United States,Dec 15 2021,841043,0
United States,Dec  8 2021,858797,0
United States,Dec  1 2021,609391,0
United States,Nov 24 2021,664332,0
United States,Nov 17 2021,616281,0
United States,Nov 10 2021,537746,0
United States,Nov  3 2021,500727,0
United States,Oct 27 2021,503563,0
United States,Oct 20 2021,531015,0
United States,Oct 13 2021,617124,0
United States,Oct  6 2021,697678,0
United States,Sep 29 2021,797478,0
United States,Sep 22 2021,907241,0
United States,Sep 15 2021,1050152,0
United States,Sep  8 2021,1079359,0
United States,Sep  1 2021,1178136,0
United States,Aug 25 2021,1052902,0
United States,Aug 18 2021,991671,0
United States,Aug 11 2021,851604,0
United States,Aug  4 2021,681977,0
United States,Jul 28 2021,467881,0
United States,Jul 21 2021,290393,0
United States,Jul 14 2021,251416,0
United States,Jul  7 2021,133454,0
United States,Jun 30 2021,98306,0
United States,Jun 23 2021,84062,0
United States,Jun 16 2021,88332,0
United States,Jun  9 2021,101776,0
United States,Jun  2 2021,120729,0
United States,May 26 2021,164718,0
United States,May 19 2021,213271,0
United States,May 12 2021,260679,0
United States,May  5 2021,334650,0
United States,Apr 28 2021,373341,0
United States,Apr 21 2021,450321,0
United States,Apr 14 2021,493584,0
United States,Apr  7 2021,457342,0
United States,Mar 31 2021,448231,0
United States,Mar 24 2021,402301,0
United States,Mar 17 2021,378100,0
United States,Mar 10 2021,391340,0
United States,Mar  3 2021,446937,0
United States,Feb 24 2021,466535,0
United States,Feb 17 2021,543964,0
United States,Feb 10 2021,732705,0
United States,Feb  3 2021,923545,0
United States,Jan 27 2021,1131902,0
United States,Jan 20 2021,1381077,0
United States,Jan 13 2021,1720017,0
United States,Jan  6 2021,1592219,0
United States,Dec 30 2020,1310254,0
United States,Dec 23 2020,1517260,0
United States,Dec 16 2020,1543673,0
United States,Dec  9 2020,1483725,0
United States,Dec  2 2020,1180497,0
United States,Nov 25 2020,1256715,0
United States,Nov 18 2020,1115060,0
United States,Nov 11 2020,893598,0
United States,Nov  4 2020,651733,0
United States,Oct 28 2020,521213,0
United States,Oct 21 2020,430713,0
United States,Oct 14 2020,360503,0
United States,Oct  7 2020,310043,0
United States,Sep 30 2020,299456,0
United States,Sep 23 2020,292937,0
United States,Sep 16 2020,275318,0
United States,Sep  9 2020,259255,0
United States,Sep  2 2020,284682,0
United States,Aug 26 2020,294191,0
United States,Aug 19 2020,349396,0
United States,Aug 12 2020,399702,0
United States,Aug  5 2020,412926,0
United States,Jul 29 2020,456129,0
United States,Jul 22 2020,457704,0
United States,Jul 15 2020,422662,0
United States,Jul  8 2020,358244,0
United States,Jul  1 2020,297775,0
United States,Jun 24 2020,210723,0
United States,Jun 17 2020,155131,0
United States,Jun 10 2020,148411,0
United States,Jun  3 2020,143880,0
United States,May 27 2020,146397,0
United States,May 20 2020,156962,0
